iter	MultiClass
0	1.746894572
1	1.715340661
2	1.685128576
3	1.663910571
4	1.645694332
5	1.626878488
6	1.612583512
7	1.592285471
8	1.577936773
9	1.565568302
10	1.553795851
11	1.540341579
12	1.529026552
13	1.514602001
14	1.502014894
15	1.49242469
16	1.48234216
17	1.47256189
18	1.462222018
19	1.451508108
20	1.441863543
21	1.433301792
22	1.425618278
23	1.417722178
24	1.409588781
25	1.401300576
26	1.393640898
27	1.38572019
28	1.377444522
29	1.371869142
30	1.363602552
31	1.35688889
32	1.3494858
33	1.342744057
34	1.333793239
35	1.327028792
36	1.321735443
37	1.315924331
38	1.309830122
39	1.303128835
40	1.297259762
41	1.290904098
42	1.285055942
43	1.279014692
44	1.273343947
45	1.268363031
46	1.263227671
47	1.257967304
48	1.252586165
49	1.247302133
50	1.241533298
51	1.237005292
52	1.231395807
53	1.225893786
54	1.220624363
55	1.215368534
56	1.210604385
57	1.20557696
58	1.200317617
59	1.196139773
60	1.191397237
61	1.187439203
62	1.182688352
63	1.178608789
64	1.174551329
65	1.170232245
66	1.16626399
67	1.162294198
68	1.158447604
69	1.153583811
70	1.149347549
71	1.145200235
72	1.140733647
73	1.136898012
74	1.133118561
75	1.129692522
76	1.125784351
77	1.122370976
78	1.118820786
79	1.115311507
80	1.111766648
81	1.108495561
82	1.105133698
83	1.101836218
84	1.098447109
85	1.09506209
86	1.091390198
87	1.08821155
88	1.085091646
89	1.081887093
90	1.078799825
91	1.075177306
92	1.072017343
93	1.068790256
94	1.065986371
95	1.062782869
96	1.05986094
97	1.056947971
98	1.053615719
99	1.050349159
100	1.047369134
101	1.04427101
102	1.04141765
103	1.038739471
104	1.036025827
105	1.033426474
106	1.030609715
107	1.027356315
108	1.024800188
109	1.021643073
110	1.018769186
111	1.016003158
112	1.012542386
113	1.009527027
114	1.006753092
115	1.00387654
116	1.001312774
117	0.9984907053
118	0.9958113297
119	0.9930942513
120	0.9905851848
121	0.9878440295
122	0.9850696421
123	0.9826288239
124	0.9802174197
125	0.9778284975
126	0.9751039898
127	0.97273528
128	0.970284845
129	0.9677715152
130	0.9652721552
131	0.9628885085
132	0.9603716998
133	0.9577869845
134	0.9554616306
135	0.9530510471
136	0.9457505351
137	0.943487241
138	0.9410867361
139	0.9385024045
140	0.9363600916
141	0.9338629532
142	0.9315460126
143	0.9294357175
144	0.9272914692
145	0.9248788209
146	0.9227976569
147	0.9205788442
148	0.9182579681
149	0.9160957379
150	0.9139964947
151	0.9119231544
152	0.9096631669
153	0.9073843731
154	0.9053163084
155	0.9030358786
156	0.9008096148
157	0.8987138052
158	0.8966564935
159	0.8944138946
160	0.8923681892
161	0.8905281855
162	0.8884555706
163	0.88652381
164	0.8844776296
165	0.8823786957
166	0.8804605786
167	0.8785911204
168	0.8767554602
169	0.8745333562
170	0.8704669194
171	0.8682841509
172	0.8663671013
173	0.8645115176
174	0.8626704592
175	0.8608908801
176	0.8586811605
177	0.8568850749
178	0.8551454528
179	0.8533055274
180	0.8513664525
181	0.8497266545
182	0.8478520522
183	0.8459675549
184	0.8442716204
185	0.8425510001
186	0.8408662094
187	0.8390986699
188	0.8375125254
189	0.8359230024
190	0.8343597677
191	0.8325713522
192	0.8308207231
193	0.8291885755
194	0.8275850626
195	0.8259223794
196	0.8243493892
197	0.8227499735
198	0.8212452942
199	0.8196682562
200	0.8179291123
201	0.8163975109
202	0.8146839058
203	0.8130416173
204	0.8114223906
205	0.8092746576
206	0.8077159878
207	0.8061143221
208	0.8045124145
209	0.8029692695
210	0.8013603425
211	0.7998724413
212	0.7983858912
213	0.7962361001
214	0.7947405833
215	0.7932940997
216	0.7917586147
217	0.7902911274
218	0.7888197151
219	0.7874208134
220	0.7860917446
221	0.7846204053
222	0.7830731214
223	0.7817858996
224	0.7804377537
225	0.7789344244
226	0.7773155166
227	0.7759029738
228	0.7740766134
229	0.7726109556
230	0.7713116071
231	0.7699941722
232	0.7684517815
233	0.7670422137
234	0.7656645156
235	0.764335539
236	0.7630359951
237	0.7612827141
238	0.7599975708
239	0.7584638952
240	0.7571656356
241	0.7558323815
242	0.754594137
243	0.7531193882
244	0.7515493298
245	0.7501892964
246	0.7487981591
247	0.7473523507
248	0.7460289978
249	0.7447822567
250	0.74362918
251	0.7423448802
252	0.7410918351
253	0.7399259577
254	0.7373806662
255	0.7360564775
256	0.7347800142
257	0.7335219231
258	0.7309169926
259	0.7296365239
260	0.7283057356
261	0.726964096
262	0.7258170138
263	0.7244638514
264	0.7231607031
265	0.7217618283
266	0.7205966021
267	0.719452858
268	0.7177948752
269	0.7166217767
270	0.7154178309
271	0.7143501853
272	0.7132285305
273	0.7120873299
274	0.7110155584
275	0.7097901211
276	0.7086195149
277	0.7075828756
278	0.7063957941
279	0.7052792924
280	0.7042378479
